"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,
Accession ID,Virus name,Location,Collection date,Originating lab,Submitting lab,Authors
,,,,,,
EPI_ISL_439337,hCoV-19/Scotland/EDB3846/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439350,hCoV-19/Scotland/EDB3872/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439351,hCoV-19/Scotland/EDB3873/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439353,hCoV-19/Scotland/EDB3882/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439354,hCoV-19/Scotland/EDB3887/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439355,hCoV-19/Scotland/EDB3890/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439357,hCoV-19/Scotland/EDB3892/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439358,hCoV-19/Scotland/EDB3894/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439359,hCoV-19/Scotland/EDB3895/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439360,hCoV-19/Scotland/EDB3897/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439361,hCoV-19/Scotland/EDB3899/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439363,hCoV-19/Scotland/EDB3903/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439364,hCoV-19/Scotland/EDB3906/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439365,hCoV-19/Scotland/EDB3914/2020,Europe / United Kingdom / Scotland,2020-05-01,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439366,hCoV-19/Scotland/EDB3918/2020,Europe / United Kingdom / Scotland,2020-05-02,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439367,hCoV-19/Scotland/EDB3919/2020,Europe / United Kingdom / Scotland,2020-05-02,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439665,hCoV-19/Scotland/EDB3925/2020,Europe / United Kingdom / Scotland,2020-05-02,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_439666,hCoV-19/Scotland/EDB3941/2020,Europe / United Kingdom / Scotland,2020-05-02,"Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh",COVID-19 Genomics UK (COG-UK) Consortium,"McHugh M, Dewar R, Rooke S, Gallagher M, Balcaza C, O‚ÄôToole √Å, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Williams TC, Templeton K"
EPI_ISL_445075,hCoV-19/Luxembourg/LNS1586475/2020,Europe / Luxembourg,2020-05-08,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics","Anke Wienecke-Baldacchino, Ardashel Latsuzbaia, Jessica Tapp, Catherine Ragimbeau, Guillaume Fournier, Tamir Abdelrahman, Trung Nguyen Nguyen, Joel Mossong"
EPI_ISL_447978,hCoV-19/England/CAMB-1AD1F2/2020,Europe / United Kingdom / England,2020-05-01,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar,  Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow"
EPI_ISL_447994,hCoV-19/England/CAMB-1AD6A8/2020,Europe / United Kingdom / England,2020-05-01,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar,  Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow"
EPI_ISL_447995,hCoV-19/England/CAMB-1AD6B7/2020,Europe / United Kingdom / England,2020-05-01,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,"Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar,  Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow"
