"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,
Accession ID,Virus name,Location,Collection date,Originating lab,Submitting lab,Authors
,,,,,,
EPI_ISL_436504,hCoV-19/USA/PA-MGSC58-05/2020,North America / USA / Pennsylvania / Pittsburgh,2020,UPMC Clinical Laboratory,"Microbial Genome Sequencing Center, Microbial Genomic Epidemiological Laboratory","Dan Snyder, Stephanie L Mitchell, Mustapha M Mustapha, Marissa P Griffith, Vatsala R Srinivasa, Kady D Waggle, Chinelo Ezeonwuku, Jane W. Marsh, Lee H. Harrison, Vaughn S. Cooper"
EPI_ISL_404895,hCoV-19/USA/WA1/2020,North America / USA / Washington / Snohomish County,2020-01-19,Providence Regional Medical Center,"Division of Viral Diseases, Centers for Disease Control and Prevention","Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S."
EPI_ISL_404253,hCoV-19/USA/IL1/2020,North America / USA / Illinois / Chicago,2020-01-21,IL Department of Public Health Chicago Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention","Ying Tao, Krista Queen, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_406223,hCoV-19/USA/AZ1/2020,North America / USA / Arizona / Phoenix,2020-01-22,Arizona Department of Health Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention","Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Yan Li, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_406036,hCoV-19/USA/CA2/2020,North America / USA / California / Orange County,2020-01-22,California Department of Public Health ,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention ","Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong "
EPI_ISL_406034,hCoV-19/USA/CA1/2020,North America / USA / California / Los Angeles,2020-01-23,California Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention","Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_407214,hCoV-19/USA/WA1-A12/2020,North America / USA / Washington,2020-01-25,WA State Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention","Krista Queen, Azaibi Tamin, Jennifer Harcourt, Ying Tao, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Shifaq Kamili, Rashi Gautam, Haibin Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Natalie Thornburg, Suxiang Tong"
EPI_ISL_407215,hCoV-19/USA/WA1-F6/2020,North America / USA / Washington,2020-01-25,Washington State Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention","Krista Queen, Azaibi Tamin, Jennifer Harcourt, Ying Tao, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Shifaq Kamili, Rashi Gautam, Haibin Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Natalie Thornburg, Suxiang Tong"
EPI_ISL_410044,hCoV-19/USA/CA6/2020,North America / USA / California,2020-01-27,California Department of Public Health ,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention ","Jing Zhang, Krista Queen, Yan Li, Ying Tao, Anna Uehara, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_410045,hCoV-19/USA/IL2/2020,North America / USA / Illinois,2020-01-28,IL Department of Public Health Chicago Laboratory ,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention ","Yan Li, Jing Zhang, Krista Queen, Ying Tao, Anna Uehara, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
