"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,
Accession ID,Virus name,Location,Collection date,Originating lab,Submitting lab,Authors
,,,,,,
EPI_ISL_404227,hCoV-19/Zhejiang/WZ-01/2020,Asia / China / Zhejiang,2020-01-16,Zhejiang Provincial Center for Disease Control and Prevention,"Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention","Yin Chen, Yanjun Zhang, Haiyan Mao, Junhang Pan, Xiuyu Lou, Yiyu Lu, Juying Yan, Hanping Zhu, Jian Gao, Yan Feng, Yi Sun, Hao Yan, Zhen Li, Yisheng Sun, Liming Gong, Qiong Ge, Wen Shi, Xinying Wang, Wenwu Yao, Zhangnv Yang, Fang Xu, Chen Chen, Enfu Chen, Zhen Wang, Zhiping Chen, Jianmin Jiang, Chonggao Hu"
EPI_ISL_404228,hCoV-19/Zhejiang/WZ-02/2020,Asia / China / Zhejiang,2020-01-17,Zhejiang Provincial Center for Disease Control and Prevention,"Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention","Yanjun Zhang, Yin Chen, Haiyan Mao, Junhang Pan, Xiuyu Lou, Yiyu Lu, Juying Yan, Hanping Zhu, Jian Gao, Yan Feng, Yi Sun, Hao Yan, Zhen Li, Yisheng Sun, Liming Gong, Qiong Ge, Wen Shi, Xinying Wang, Wenwu Yao, Zhangnv Yang, Fang Xu, Chen Chen, Enfu Chen, Zhen Wang, Zhiping Chen, Jianmin Jiang, Chonggao Hu"
EPI_ISL_406030,hCoV-19/Shenzhen/HKU-SZ-002/2020,Asia / China / Guangdong / Shenzhen,2020-01-10,The University of Hong Kong - Shenzhen Hospital,"Li Ka Shing Faculty of Medicine, The University of Hong Kong","Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_406031,hCoV-19/Taiwan/2/2020,Asia / Taiwan / Kaohsiung,2020-01-23,"Centers for Disease Control, R.O.C. (Taiwan)","Centers for Disease Control, R.O.C. (Taiwan)","Ji-Rong Yang, Yu-Chi Lin, Jung-Jung Mu, Ming-Tsan Liu, Shu-Ying Li"
EPI_ISL_406531,hCoV-19/Guangdong/20SF174/2020,Asia / China / Guangdong / Zhuhai,2020-01-22,Guangdong Provincial Center for Diseases Contorl and Prevention; Guangdong Provinical Public Health,Guangdong Provincial Center for Disease Control and Prevention,"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406533,hCoV-19/Guangzhou/20SF206/2020,Asia / China / Guangdong / Guangzhou,2020-01-22,Guangdong Provincial Center for Diseases Contorl and Prevention; Guangdong Provinical Public Health,Guangdong Provincial Center for Diseases Control and Prevention,"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406534,hCoV-19/Foshan/20SF207/2020,Asia / China / Guangdong / Foshan,2020-01-22,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,Guangdong Provincial Center for Diseases Control and Prevention,"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406535,hCoV-19/Foshan/20SF210/2020,Asia / China / Guangdong / Foshan,2020-01-22,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,Guangdong Provincial Center for Diseases Control and Prevention,"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406536,hCoV-19/Foshan/20SF211/2020,Asia / China / Guangdong / Foshan,2020-01-22,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,Guangdong Provincial Center for Diseases Control and Prevention,"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406538,hCoV-19/Guangdong/20SF201/2020,Asia / China / Guangdong,2020-01-23,Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health,Guangdong Provincial Center for Diseases Control and Prevention,"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406592,hCoV-19/Shenzhen/SZTH-001/2020,Asia / China / Guangdong / Shenzhen,2020-01-13,Shenzhen Third People's Hospital,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease,Shenzhen Third People's Hospital","Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu"
EPI_ISL_406593,hCoV-19/Shenzhen/SZTH-002/2020,Asia / China / Guangdong / Shenzhen,2020-01-13,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital","Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital","Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu"
EPI_ISL_406594,hCoV-19/Shenzhen/SZTH-003/2020,Asia / China / Guangdong / Shenzhen,2020-01-16,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital","Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital","Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu"
EPI_ISL_406595,hCoV-19/Shenzhen/SZTH-004/2020,Asia / China / Guangdong / Shenzhen,2020-01-16,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital","Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital","Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu"
EPI_ISL_406800,hCoV-19/Wuhan/WH03/2020,Asia / China / Hubei / Wuhan,2020-01-01,General Hospital of Central Theater Command of People's Liberation Army of China,"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu"
EPI_ISL_406801,hCoV-19/Wuhan/WH04/2020,Asia / China / Hubei / Wuhan,2020-01-05,General Hospital of Central Theater Command of People's Liberation Army of China,"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu"
EPI_ISL_407313,hCoV-19/Hangzhou/HZCDC0001/2020,Asia / China / Zhejiang / Hangzhou,2020-01-19,Hangzhou Center for Disease Control and Prevention,Hangzhou Center for Disease Control and Prevention,"Jun Li, Haoqiu Wang, Hua Yu, Lingfeng Mao, Xinfen Yu, Zhou Sun, Qingxin Kong, Xin Qian, Shuchang Chen, Xuchu Wang"
EPI_ISL_408665,hCoV-19/Japan/TY-WK-012/2020,Asia / Japan / Tokyo,2020-01-29,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases","Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408666,hCoV-19/Japan/TY-WK-501/2020,Asia / Japan / Tokyo,2020-01-31,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases","Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408667,hCoV-19/Japan/TY-WK-521/2020,Asia / Japan / Tokyo,2020-01-31,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases","Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408668,hCoV-19/Vietnam/VR03-38142/2020,Asia / Vietnam / Thanh Hoa,2020-01-24,National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE),National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE),"Ung Thi Hong Trang, Hoang Vu Mai Phuong, Nguyen Le Khanh Hang, Nguyen Vu Son, Le Thi Thanh, Vuong Duc Cuong, Nguyen Phuong Anh, Pham Thi Hien, Tran Thu Huong, Le Thi Quynh Mai,"
EPI_ISL_408669,hCoV-19/Japan/KY-V-029/2020,Asia / Japan / Kyoto,2020-01-29,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases","Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_410531,hCoV-19/Japan/NA-20-05-1/2020,Asia / Japan / Nara,2020-01-25,"Dept. of Pathology, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases","Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda"
EPI_ISL_410532,hCoV-19/Japan/OS-20-07-1/2020,Asia / Japan / Osaka,2020-01-23,"Dept. of Pathology, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases","Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda"
