"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,
Accession ID,Virus name,Location,Collection date,Originating lab,Submitting lab,Authors
,,,,,,
EPI_ISL_436896,hCoV-19/USA/WI-GMF-02263/2020,North America / USA / Wisconsin / La Crosse County,2020-05-02,Gundersen Molecular Diagnostics Laboratory,Kabara Cancer Research Institute,"Craig S. Richmond, Paraic A. Kenny"
EPI_ISL_436897,hCoV-19/USA/WI-GMF-02274/2020,North America / USA / Wisconsin / Vernon County,2020-05-03,Gundersen Molecular Diagnostics Laboratory,Kabara Cancer Research Institute,"Craig S. Richmond, Paraic A. Kenny"
EPI_ISL_436898,hCoV-19/USA/WI-GMF-02294/2020,North America / USA / Wisconsin / La Crosse County,2020-05-03,Gundersen Molecular Diagnostics Laboratory,Kabara Cancer Research Institute,"Craig S. Richmond, Paraic A. Kenny"
EPI_ISL_436899,hCoV-19/USA/WI-GMF-02314/2020,North America / USA / Wisconsin / La Crosse County,2020-05-03,Gundersen Molecular Diagnostics Laboratory,Kabara Cancer Research Institute,"Craig S. Richmond, Paraic A. Kenny"
EPI_ISL_436900,hCoV-19/USA/WI-GMF-02381/2020,North America / USA / Iowa / Fayette County,2020-05-04,Gundersen Molecular Diagnostics Laboratory,Kabara Cancer Research Institute,"Craig S. Richmond, Paraic A. Kenny"
EPI_ISL_444023,hCoV-19/USA/CA-CZB-1089/2020,North America / USA / California / Santa Clara County,2020-05-01,County of Santa Clara Public Health,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_444024,hCoV-19/USA/CA-CZB-1090/2020,North America / USA / California / Santa Clara County,2020-05-01,County of Santa Clara Public Health,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_444025,hCoV-19/USA/CA-CZB-1091/2020,North America / USA / California / Santa Clara County,2020-05-01,County of Santa Clara Public Health,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_444026,hCoV-19/USA/CA-CZB-1092/2020,North America / USA / California / Santa Clara County,2020-05-01,County of Santa Clara Public Health,Chan-Zuckerberg Biohub,CZB Cliahub Consortium
EPI_ISL_445118,hCoV-19/USA/CA-SR0217/2020,North America / USA / California / San Diego,2020-05-04,Rady's Childrens Hospital,Andersen lab at Scripps Research,SEARCH Alliance San Diego
EPI_ISL_450190,hCoV-19/USA/CA-SR0341/2020,North America / USA / California / San Diego,2020-05-08,Rady's Childrens Hospital,Andersen lab at Scripps Research,SEARCH Alliance San Diego
EPI_ISL_451203,hCoV-19/USA/LA-EVTL042/2020,North America / USA / Louisiana,2020-05-02,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451205,hCoV-19/USA/LA-EVTL044/2020,North America / USA / Louisiana,2020-05-01,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451206,hCoV-19/USA/LA-EVTL045/2020,North America / USA / Louisiana,2020-05-01,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451207,hCoV-19/USA/LA-EVTL046/2020,North America / USA / Louisiana,2020-05-01,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451208,hCoV-19/USA/LA-EVTL047/2020,North America / USA / Louisiana,2020-05-01,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451209,hCoV-19/USA/LA-EVTL048/2020,North America / USA / Louisiana,2020-05-01,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451210,hCoV-19/USA/LA-EVTL049/2020,North America / USA / Louisiana,2020-05-01,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
