"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,
Accession ID,Virus name,Location,Collection date,Originating lab,Submitting lab,Authors
,,,,,,
EPI_ISL_407893,hCoV-19/Australia/NSW01/2020,Oceania / Australia / New South Wales / Sydney,2020-01-24,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group"
EPI_ISL_407894,hCoV-19/Australia/QLD01/2020,Oceania / Australia / Queensland / Gold Coast,2020-01-28,Pathology Queensland,Public Health Virology Laboratory,"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_407896,hCoV-19/Australia/QLD02/2020,Oceania / Australia / Queensland / Gold Coast,2020-01-30,Pathology Queensland,Public Health Virology Laboratory,"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_413213,hCoV-19/Australia/NSW06/2020,Oceania / Australia / New South Wales / Sydney,2020-02-29,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413214,hCoV-19/Australia/NSW07/2020,Oceania / Australia / New South Wales / Sydney,2020-02-29,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413594,hCoV-19/Australia/NSW08/2020,Oceania / Australia / NSW / Sydney,2020-02-28,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Rockett R, Eden J-S, Lam C, Gray K, Timms, V, Gall, M, Alicia, A, Carter I, Rahman H, Holmes EC, , O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413595,hCoV-19/Australia/NSW09/2020,Oceania / Australia / NSW / Sydney,2020-02-28,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Rockett R, Eden J-S, Lam C, Gray K, Timms, V, Gall, M, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413596,hCoV-19/Australia/NSW10/2020,Oceania / Australia / NSW / Sydney,2020-02-28,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Rockett R, Eden J-S, Lam C, Gray K, Timms, V, Gall, M, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413597,hCoV-19/Australia/NSW11/2020,Oceania / Australia / NSW / Sydney,2020-03-02,Centre for Infectious Diseases and Microbiology- Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,"Lam C, Eden J-S, Rockett R, Gray K, Timms, V, Gall, M, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
